Recipe Title,Recipe URL,Ingredients
Japanese Zucchini,https://cookpad.com/eng/recipes/25449481,"Ingredients 6 minutes 4 servings 3 medium zucchini 2 tablespoons vegetable oil 1 medium sweet onion, coarsely chopped 1/2 tablespoon teriyaki sauce 1 tablespoon soy sauce 1/4-1/2 teaspoon crushed red pepper flakes 1/4 teaspoon black pepper 1-2 teaspoons toasted sesame seeds 3 medium zucchini 2 tablespoons vegetable oil 1 medium sweet onion, coarsely chopped 1/2 tablespoon teriyaki sauce 1 tablespoon soy sauce 1/4-1/2 teaspoon crushed red pepper flakes 1/4 teaspoon black pepper 1-2 teaspoons toasted sesame seeds"
Chicken meatball for nabe japanese hot pot,https://cookpad.com/eng/recipes/25431062,"Ingredients 20 minutes 1 lb ground chicken about 2in slice of renkon , minced 2 green onions , minced knob ginger, minced 2 garlic cloves , minced 1 egg salt and pepper 1 tsp layu 1 lb ground chicken about 2in slice of renkon , minced 2 green onions , minced knob ginger, minced 2 garlic cloves , minced 1 egg salt and pepper 1 tsp layu"
Perfect Shokupan  White and Fuffy japanese milk bread  Believe me WOWWWWWWEEEE,https://cookpad.com/eng/recipes/25325786,Ingredients ok 1 day and 30 mins hands on 2 Larege Rolls For The Yudane 50 gr Bread flour 40 ml boiling water above 90C For the Bread 150 ml Full Fat milk - Slightly Warmed Above room temp in Microwave 15 gr sugar 1 Tsp dry instant yeast 10 gr unsalted butter room temp - MUST UNSALTED 200 gr Strong Bread flour 2 gr salt For The Yudane 50 gr Bread flour 40 ml boiling water above 90C For the Bread 150 ml Full Fat milk - Slightly Warmed Above room temp in Microwave 15 gr sugar 1 Tsp dry instant yeast 10 gr unsalted butter room temp - MUST UNSALTED 200 gr Strong Bread flour 2 gr salt
Spicy Chicken Japanese Curry,https://cookpad.com/eng/recipes/25284017,Ingredients 2 hours 14 servings 500 g minced chicken half thighs half breast  500 g carrot 500 g yellow onion 50 g butter 50 g vegetables oil 300 ml chicken stock 1250 ml water 50 ml white wine 1 tbsp kosher salt 10g 2 tsp fresh white / black pepper 5g 2 tbsp garlic powder 20g 1 tsp chili powder 3g 2 tbsp beef powder 20g 1/2 tbsp dranulated sugar 7g 13 Golden Curry cube 500 g minced chicken half thighs half breast  500 g carrot 500 g yellow onion 50 g butter 50 g vegetables oil 300 ml chicken stock 1250 ml water 50 ml white wine 1 tbsp kosher salt 10g 2 tsp fresh white / black pepper 5g 2 tbsp garlic powder 20g 1 tsp chili powder 3g 2 tbsp beef powder 20g 1/2 tbsp dranulated sugar 7g 13 Golden Curry cube
Steamed Japanese Sweet Potato w Instant Pot,https://cookpad.com/eng/recipes/25210496,Ingredients 40 min 34 people 2 4 Japanese sweet potatoes 2 4 Japanese sweet potatoes
Japanese Hambagu with Herb Mashed Potatoes and 2x fried Crispy Fries,https://cookpad.com/eng/recipes/25214022,"Ingredients 1 hour 2 servings 20 g Butter for mashed potatoes as needed Oil for frying 1 tsp Dried parsley 10 g Butter for fries  1/2 tsp Garlic powder 2 tbsp All-purpose flour 2 tbsp Cornstarch 200 g Frozen French fries 1 tsp Fresh or dried herbs for mashed potatoes 50 ml Milk 2 medium about 300g Potatoes 300 g Ground beef 1 tbsp Worcestershire sauce for sauce 2 tbsp Ketchup for sauce 2 tbsp Soy sauce for sauce 1/4 tsp Pepper 1/2 tsp Salt 1 tsp Mixed herbs e.g. parsley , thyme  1 tbsp Worcestershire sauce 1 Egg 1/2 onion about 60g Caramelized onion 30 g Breadcrumbs 20 g Butter for mashed potatoes as needed Oil for frying 1 tsp Dried parsley 10 g Butter for fries  1/2 tsp Garlic powder 2 tbsp All-purpose flour 2 tbsp Cornstarch 200 g Frozen French fries 1 tsp Fresh or dried herbs for mashed potatoes 50 ml Milk 2 medium about 300g Potatoes 300 g Ground beef 1 tbsp Worcestershire sauce for sauce 2 tbsp Ketchup for sauce 2 tbsp Soy sauce for sauce 1/4 tsp Pepper 1/2 tsp Salt 1 tsp Mixed herbs e.g. parsley , thyme  1 tbsp Worcestershire sauce 1 Egg 1/2 onion about 60g Caramelized onion 30 g Breadcrumbs"
Tsukune japanese chicken meatballs,https://cookpad.com/eng/recipes/25155937,Ingredients 1 lb ground chicken 5 oz tofu 1 egg white chopped shiso leaves optional salt and pepper 2-3 tbsp cornstarch sauce bachans original sauce OR 2 tbsp soy sauce 2 tbsp sugar 2 tbsp sake 1 lb ground chicken 5 oz tofu 1 egg white chopped shiso leaves optional salt and pepper 2-3 tbsp cornstarch sauce bachans original sauce OR 2 tbsp soy sauce 2 tbsp sugar 2 tbsp sake
Japanese yakitori chicken thigh,https://cookpad.com/eng/recipes/24997517,Ingredients 30 min 2 servings 350 g chicken thighs 6 spring onions 2 dl yakitori sauce 350 g chicken thighs 6 spring onions 2 dl yakitori sauce
Gyoza japanese dumplings,https://cookpad.com/eng/recipes/24990641,Ingredients 60-65 gyozas 1/2 pound ground pork 2 tbsp soy sauce 1 tbsp sesame oil 1 tbsp sake 3 cloves garlic 1/2 cup chopped nira  garlic chives  1 cup chopped cabbage 2.5 oz 70 g pack of zha cai picked mustard stem 1 tbsp potato starch 60-65 dumpling wrappers 1/2 pound ground pork 2 tbsp soy sauce 1 tbsp sesame oil 1 tbsp sake 3 cloves garlic 1/2 cup chopped nira  garlic chives  1 cup chopped cabbage 2.5 oz 70 g pack of zha cai picked mustard stem 1 tbsp potato starch 60-65 dumpling wrappers
Easy lunch Japanesestyle pizza with whitebait chikuwa and leeks,https://cookpad.com/eng/recipes/24773058,"Ingredients 2 people 1 sheet Pizza dough 1 tsp Olive oil For pizza dough  2 Chikuwa 1/2 Leek  green onion could be used  as a substitution 1/2 tbsp Shiro dashi a Japanese broth or soup stock Shredded cheese 1 pinch Sliced  chili pepper Black pepper 35 g Whitebait  Shirasu in Japanese. tiny, tender white fish often used in Japanese cooking 1 sheet Pizza dough 1 tsp Olive oil For pizza dough  2 Chikuwa 1/2 Leek  green onion could be used  as a substitution 1/2 tbsp Shiro dashi a Japanese broth or soup stock Shredded cheese 1 pinch Sliced  chili pepper Black pepper 35 g Whitebait  Shirasu in Japanese. tiny, tender white fish often used in Japanese cooking"
